Accession_ENSEMBL,Rob_Transcript_Class,Symbol
ENSMUST00000182586.1,6,A930001A20Rik
ENSMUST00000045026.3,6,Spag5
ENSMUST00000062372.12,6,Reln
ENSMUST00000187810.1,6,Arl4c
ENSMUST00000115059.6,6,Tenm1
ENSMUST00000021930.8,6,Sfxn1
ENSMUST00000204545.1,6,Mpp6
ENSMUST00000102888.8,6,Camk2a
ENSMUST00000110516.2,6,Hecw1
ENSMUST00000025234.5,6,Epb4.1l4a
ENSMUST00000029423.8,6,Serpini1
ENSMUST00000094836.5,6,Stk32b
ENSMUST00000025903.5,6,Rps6ka4
ENSMUST00000032768.12,6,Nr2f2
ENSMUST00000021929.8,6,Habp4
ENSMUST00000026225.13,6,Sema4g
ENSMUST00000022057.8,6,Tppp
ENSMUST00000055966.11,6,Gabra3
ENSMUST00000114871.1,6,Hs6st2
ENSMUST00000020707.10,6,Gabra1
ENSMUST00000023312.12,6,Alcam
ENSMUST00000027377.8,6,Igfbp5
ENSMUST00000040647.9,6,Fgf1
ENSMUST00000034522.7,6,Clmp
ENSMUST00000066285.4,6,Hspa12a
ENSMUST00000022986.6,6,Fbxo32
ENSMUST00000007797.8,6,Gabrb2
ENSMUST00000026120.7,6,Bhlhe22
ENSMUST00000027467.9,6,Serpine2
ENSMUST00000197284.3,6,Gabra2
ENSMUST00000020102.12,6,Slc17a8
ENSMUST00000053681.5,6,Frrs1l
ENSMUST00000091903.4,6,Sh3bp5
ENSMUST00000001757.7,6,Eef1e1
ENSMUST00000095012.8,6,Sema3a
ENSMUST00000065496.10,6,Arhgap20
ENSMUST00000084770.4,6,Fut9
ENSMUST00000028123.3,6,Gad2
ENSMUST00000131996.6,6,Rgs17
ENSMUST00000034026.8,6,Hpgd
ENSMUST00000071750.11,6,Col12a1
ENSMUST00000169850.6,6,Gfra1
ENSMUST00000003687.6,6,Tgfb3
ENSMUST00000073899.4,6,Syt7
ENSMUST00000066432.10,6,Scn3a
ENSMUST00000115426.7,6,Steap2
ENSMUST00000001204.6,6.1,Calm1
ENSMUST00000111088.7,6.1,Pax6
ENSMUST00000063857.9,6.1,Slc6a9
ENSMUST00000190298.5,6.1,Nav1
ENSMUST00000000219.8,6.1,Th
ENSMUST00000024954.9,7,Epas1
ENSMUST00000112498.2,7,Crim1
ENSMUST00000020171.10,7,Ctgf
ENSMUST00000079828.5,7,Ntrk2
ENSMUST00000148750.6,7,Slc4a4
ENSMUST00000028938.6,7.1,Cst3
ENSMUST00000026221.5,7.2,Scd2
ENSMUST00000021668.8,7.2,Npc2
ENSMUST00000036387.7,7.2,S100b
ENSMUST00000128788.6,8,Ift20
ENSMUST00000115108.3,8,Gng13
ENSMUST00000040789.4,8,Qpct
ENSMUST00000091609.9,8,Cltb
ENSMUST00000136105.6,8,Pcp2
ENSMUST00000105351.1,8,Plk5
ENSMUST00000023652.13,8,Grik1
ENSMUST00000085222.10,8,Trpm1
ENSMUST00000055662.2,8,Lrtm1
ENSMUST00000026284.11,8,Zfhx4
ENSMUST00000171427.6,8,Grm6
ENSMUST00000059595.9,8,Prkca
ENSMUST00000022567.8,8.1,Cacna2d3
ENSMUST00000022603.7,8.1,Lect1
ENSMUST00000077772.10,9,Sag
ENSMUST00000178694.1,9,Nrl
ENSMUST00000194992.4,9,Rp1
ENSMUST00000024774.12,9,Guca1b
ENSMUST00000087213.10,9,Cnga1
ENSMUST00000041819.11,9,Tulp1
ENSMUST00000048207.8,9,Aipl1
ENSMUST00000034831.2,9,Nr2e3
ENSMUST00000122227.6,9,Rdh12
ENSMUST00000010205.8,9,Gnat1
ENSMUST00000026452.2,9,Pde6g
ENSMUST00000032471.7,9,Rho
ENSMUST00000176637.1,9,Gnb1
ENSMUST00000191228.5,9,Pdc
ENSMUST00000050884.12,9,Hmgn1
ENSMUST00000119870.7,9,Cngb1
ENSMUST00000033650.12,9,Rs1
ENSMUST00000059348.7,9.1,Guca1a
ENSMUST00000080428.11,9.1,Opn1sw
ENSMUST00000101457.8,9.1,Opn1mw
ENSMUST00000025956.10,9.1,Pde6c
ENSMUST00000039212.7,10,Slc4a5
ENSMUST00000041096.3,10,Pcsk1n
ENSMUST00000005256.11,10,Ndrg1
ENSMUST00000081851.3,10,Tmeff2
ENSMUST00000020298.6,10,Pcbd1
ENSMUST00000115145.3,10,Onecut2
ENSMUST00000018842.12,10,Lhx1
ENSMUST00000084838.11,10.1,Cd47
ENSMUST00000029876.1,10.1,Calb1
ENSMUST00000124341.6,10.1,Slc4a3
ENSMUST00000036700.5,10.1,Adra2a
ENSMUST00000025631.6,11,Ostf1
ENSMUST00000188845.5,11,Ly6c1
ENSMUST00000022595.7,11,Rgcc
ENSMUST00000023248.11,11,Ly6a
ENSMUST00000047753.4,11,Abcb1a
ENSMUST00000021880.9,11,Ctla2a
ENSMUST00000119315.1,11,Gimap6
ENSMUST00000051572.7,11,Sdpr
ENSMUST00000048138.6,11,S100a13
ENSMUST00000018437.2,11,Pfn1
ENSMUST00000007257.9,11,Clic1
ENSMUST00000067912.7,11,Klf2
ENSMUST00000019992.5,11,Lama4
ENSMUST00000166920.7,11,Egfl7
ENSMUST00000130560.6,11,Apod
ENSMUST00000167841.6,11,Eng
ENSMUST00000043577.1,11,Cldn5
ENSMUST00000002011.12,11.1,Esam
ENSMUST00000034534.11,11.1,Ets1
ENSMUST00000035661.5,12,Cspg4
ENSMUST00000025522.9,12,Pdgfrb
ENSMUST00000033941.5,12,Plat
ENSMUST00000070630.6,12,Cd248
ENSMUST00000026886.7,12,Itih5
ENSMUST00000034650.13,12,Mcam
ENSMUST00000031668.9,12,Col1a2
ENSMUST00000034029.7,12,Ednra
ENSMUST00000087723.3,12,Notch3
ENSMUST00000021820.11,12,Aspn
ENSMUST00000087883.11,12,Col3a1
ENSMUST00000033899.12,12.1,Col4a2
ENSMUST00000115026.6,12.1,Cald1
ENSMUST00000003575.9,12.1,Tpm4
ENSMUST00000033898.9,12.1,Col4a1
ENSMUST00000196979.3,12.1,Tm4sf1
ENSMUST00000169088.6,12.1,Lamb1
ENSMUST00000157040.6,13,Mest
ENSMUST00000081654.11,13,Col18a1
ENSMUST00000001927.10,13,Ltbp1
ENSMUST00000025497.6,13,Fbn2
ENSMUST00000057410.12,13,Fbln1
ENSMUST00000109546.7,13,Vcan
ENSMUST00000070375.7,13,Penk
ENSMUST00000064783.8,13,Mfap4
ENSMUST00000033952.7,13,Sfrp1
ENSMUST00000021822.5,13,Ogn
ENSMUST00000074077.10,13,Bmp4
ENSMUST00000161306.1,13,Tmprss11e
ENSMUST00000114763.2,13.1,Fstl1
ENSMUST00000032800.9,14,Tyrobp
ENSMUST00000021860.5,14,Ly86
ENSMUST00000001008.5,14,Ccl3
ENSMUST00000199609.1,14,P2ry12
ENSMUST00000090461.10,14,Fyb
ENSMUST00000007757.13,14,Tgfbr1
ENSMUST00000115268.3,14,Csf1r
ENSMUST00000172693.6,14,Aif1
ENSMUST00000022428.10,14,Rnase4
ENSMUST00000068865.10,14,Lair1
ENSMUST00000113237.3,14,Trem2
ENSMUST00000165711.2,14,Unc93b1
ENSMUST00000094360.11,14,Siglech
ENSMUST00000081035.7,14,Mpeg1
ENSMUST00000020301.12,14,4632428N05Rik
ENSMUST00000062069.5,14,Ptgs1
ENSMUST00000041708.8,14,Gpr34
ENSMUST00000090986.9,14,Fcrls
ENSMUST00000172785.6,14.1,H2-D1
ENSMUST00000172912.6,14.1,H2-K1
ENSMUST00000086199.10,15.1,Glul
ENSMUST00000108654.2,17,Cd68
ENSMUST00000025602.2,18,Gna14
ENSMUST00000144177.6,18,Adhfe1
ENSMUST00000014457.13,19,Cox6c
ENSMUST00000044749.12,19,Myo3a
ENSMUST00000082421,19.2,mt-Cytb
ENSMUST00000082419,19.2,mt-Nd6
ENSMUST00000082392,19.2,mt-Nd1
ENSMUST00000082414,19.2,mt-Nd4
ENSMUST00000082396,19.2,mt-Nd2
ENSMUST00000082418,19.2,mt-Nd5
ENSMUST00000082402,19.2,mt-Co1
ENSMUST00000084013,19.2,mt-Nd4l
ENSMUST00000082420,19.2,mt-Te
ENSMUST00000082411,19.2,mt-Nd3
ENSMUST00000082422,19.2,mt-Tt
ENSMUST00000082394,19.2,mt-Tq
ENSMUST00000082416,19.2,mt-Ts2
ENSMUST00000082403,19.2,mt-Ts1
ENSMUST00000082404,19.2,mt-Td
ENSMUST00000082412,19.2,mt-Tr
ENSMUST00000082400,19.2,mt-Tc
ENSMUST00000082417,19.2,mt-Tl2
ENSMUST00000082410,19.2,mt-Tg
ENSMUST00000082406,19.2,mt-Tk
ENSMUST00000082407,19.2,mt-Atp8
ENSMUST00000082409,19.2,mt-Co3
ENSMUST00000082408,19.2,mt-Atp6
ENSMUST00000082405,19.2,mt-Co2
ENSMUST00000051241.5,20,Zfp36
ENSMUST00000021674.6,20,Fos
ENSMUST00000165033.1,20,Egr1
ENSMUST00000060427.4,20,Ier2
ENSMUST00000003640.2,20,Fosb
ENSMUST00000064922.5,20,Junb
ENSMUST00000042105.8,20,Ppp1r15a
ENSMUST00000092880.12,21,Tlcd1
ENSMUST00000176161.6,21,Ebf2
ENSMUST00000122365.1,21,Gm28037
ENSMUST00000174784.1,21,Gm20417
ENSMUST00000039758.4,21,Cox8a
ENSMUST00000048249.6,21,Ndufa7
ENSMUST00000034834.14,21,Pkm
ENSMUST00000110167.3,21,Ndufa13
ENSMUST00000110354.6,21,Srsf5
ENSMUST00000024823.11,21,Glo1
ENSMUST00000160682.6,21,Ubl5
ENSMUST00000042334.13,21,Rpl10a
ENSMUST00000034740.13,21,Nedd4
ENSMUST00000025541.5,21,Gnaq
ENSMUST00000102874.9,21,Mdh1
ENSMUST00000036996.5,21,Ndufb7
ENSMUST00000020640.7,21,Gnb2l1
ENSMUST00000022980.3,21,Ndufb9
ENSMUST00000038446.8,21,Myl12b
ENSMUST00000168900.2,21,Krtcap2
ENSMUST00000000804.6,21,Ddx3x
ENSMUST00000022634.8,21,Bnip3l
ENSMUST00000115609.7,21,Comt
ENSMUST00000186864.5,21,Reep6
ENSMUST00000068664.5,21,Neo1
ENSMUST00000054014.7,21,Ddx17
ENSMUST00000174259.6,21,Psme1
ENSMUST00000004172.13,21,Hmox2
ENSMUST00000028386.10,21,Nckap1
ENSMUST00000027297.9,21,Plekhb2
ENSMUST00000003912.6,21,Calr
ENSMUST00000192155.4,21,Ptch1
ENSMUST00000067689.7,21,Tnrc6b
ENSMUST00000076265.11,21,Upf3b
ENSMUST00000170489.1,21,Ddx6
ENSMUST00000017821.10,21,Wsb1
ENSMUST00000025396.3,21,Rax
ENSMUST00000114171.8,21,Atp6ap1
ENSMUST00000170202.7,21,Guk1
ENSMUST00000020896.13,21,Tspan13
ENSMUST00000005066.8,21,Map2k1
ENSMUST00000114723.7,21,Cacnb2
ENSMUST00000112250.3,21,Cacna1d
ENSMUST00000015903.9,21,Cnih1
ENSMUST00000025779.9,21,Cdk2ap2
ENSMUST00000130048.6,21,Vegfb
ENSMUST00000085585.10,21,Lsm14a
ENSMUST00000119694.1,21,Ctsf
ENSMUST00000030125.4,21,Bag1
ENSMUST00000034131.8,21,Vps35
ENSMUST00000109868.2,21,Idnk
ENSMUST00000022927.9,21,Rad21
ENSMUST00000087435.6,21,Bmpr2
ENSMUST00000019516.4,21,Nrbp2
ENSMUST00000167992.6,21,Tusc3
ENSMUST00000047935.7,21,Tspyl4
ENSMUST00000198440.3,21,Pmvk
ENSMUST00000190240.5,21,Fam134a
ENSMUST00000088652.5,21,Htatsf1
ENSMUST00000151937.6,21,Slc25a12
ENSMUST00000145963.6,21,Txnl4a
ENSMUST00000192503.1,21,Pcdha3
ENSMUST00000162364.6,21,Mob4
ENSMUST00000022257.2,21,Atxn7
ENSMUST00000029405.7,21,Gmps
ENSMUST00000021963.4,21,Caml
ENSMUST00000034000.13,21,Asah1
ENSMUST00000160597.6,21,Opa1
ENSMUST00000031556.12,21,Tmem106b
ENSMUST00000055911.4,21,Tigd3
ENSMUST00000032627.3,21,Tubgcp5
ENSMUST00000163739.1,21,Ap3m2
ENSMUST00000020999.5,21,Kif3c
ENSMUST00000112308.7,21,Lrpprc
ENSMUST00000029259.8,21,Mccc1
ENSMUST00000002100.7,21,Tmem25
ENSMUST00000041905.6,21,Nupl1
ENSMUST00000110383.6,21,Fam65b
ENSMUST00000056433.6,21,Gpr107
ENSMUST00000183588.1,99,Gm27435
ENSMUST00000097557.4,99,Spink13
ENSMUST00000162087.6,99,Fxyd5
ENSMUST00000178060.6,99,Gm3005
ENSMUST00000136992.6,99,Gm11837
ENSMUST00000192603.1,99,Gm38303
ENSMUST00000184863.6,99,Dexi
ENSMUST00000050004.1,99,Rnf125
ENSMUST00000105398.1,99,1810043G02Rik
ENSMUST00000187100.1,99,Gm29114
ENSMUST00000113980.3,99,M1ap
ENSMUST00000144024.1,99,Gm12147
ENSMUST00000166976.1,99,Klhl26
ENSMUST00000181660.6,99,Pantr1
ENSMUST00000053094.7,99,Fam188b
ENSMUST00000006391.4,99,Serpinb9
ENSMUST00000034746.9,99,Mns1
ENSMUST00000176841.1,99,4930438E09Rik
ENSMUST00000001156.7,99,Cfp
ENSMUST00000142822.2,99,Apela
ENSMUST00000024810.6,99,Fgd2
ENSMUST00000181731.1,99,C130060C02Rik
ENSMUST00000150459.1,99,1500009L16Rik
ENSMUST00000080406.5,99,Zfp251
ENSMUST00000146993.6,99,Mov10l1
ENSMUST00000043709.7,99,Gna15
ENSMUST00000160425.6,99,Phf11d
ENSMUST00000033909.12,99,Tex29
ENSMUST00000200893.2,99,RP24-63O24.1
ENSMUST00000184026.1,99,Gm27610
ENSMUST00000110002.6,99,Zfp882
ENSMUST00000148464.1,99,Gm16191
ENSMUST00000152787.2,99,Usp46os2
ENSMUST00000181720.1,99,C430014B12Rik
ENSMUST00000188560.1,99,Gm28528
ENSMUST00000143473.1,99,Gm11201
ENSMUST00000134921.1,99,C230014O12Rik
ENSMUST00000042750.2,99,Tmem246
